indicator_id,country_id,quarter,date,value,source,source_series_id,ingested_at
G1,EA,Q1,2026-03-31,0.3,Trading Economics,https://tradingeconomics.com/euro-area/gdp-growth-annual,2026-06-09T17:12:44.904024
G1,SG,Q1,2026-03-31,6.0,Trading Economics,https://tradingeconomics.com/singapore/gdp-growth-annual,2026-06-09T17:13:18.599089
G1,CN,Q4,2025-12-31,4.5,Trading Economics,https://tradingeconomics.com/china/gdp-growth-annual,2026-06-09T17:13:51.680534
G1,CN,Q1,2026-03-31,5.0,Trading Economics,https://tradingeconomics.com/china/gdp-growth-annual,2026-06-09T17:13:51.680534
G1,IN,Q4,2025-12-31,7.8,Trading Economics,https://tradingeconomics.com/india/gdp-growth-annual,2026-06-09T17:14:25.123876
G1,IN,Q1,2026-03-31,7.8,Trading Economics,https://tradingeconomics.com/india/gdp-growth-annual,2026-06-09T17:14:25.123876
G1,SL,Q3,2025-09-30,5.4,Trading Economics,https://tradingeconomics.com/sri-lanka/gdp-growth-annual,2026-06-09T17:14:58.578609
G1,SL,Q4,2025-12-31,4.8,Trading Economics,https://tradingeconomics.com/sri-lanka/gdp-growth-annual,2026-06-09T17:14:58.578609
L1,EA,,2016-12-31,9.1056944627421,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2017-12-31,8.13208945121752,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2018-12-31,7.24425466386935,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2019-12-31,6.67705052747452,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2020-12-31,7.05471356704802,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2021-12-31,7.0265794645481,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2022-12-31,6.16136079316676,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2023-12-31,6.02643653344515,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2024-12-31,5.92300803762815,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,EA,,2025-12-31,5.92651809121259,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.727887
L1,SG,,2016-12-31,4.08,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2017-12-31,4.2,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2018-12-31,3.613,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2019-12-31,3.1,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2020-12-31,4.1,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2021-12-31,4.64,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2022-12-31,3.591,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2023-12-31,3.444,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2024-12-31,2.737,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,SG,,2025-12-31,2.818,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.780558
L1,CN,,2016-12-31,4.56,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2017-12-31,4.47,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2018-12-31,4.31,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2019-12-31,4.56,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2020-12-31,5.0,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2021-12-31,4.55,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2022-12-31,4.98,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2023-12-31,4.67,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2024-12-31,4.59,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,CN,,2025-12-31,4.615,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.871956
L1,IN,,2016-12-31,7.611,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2017-12-31,7.626,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2018-12-31,7.652,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2019-12-31,6.51,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2020-12-31,7.859,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2021-12-31,6.38,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2022-12-31,4.822,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2023-12-31,4.172,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2024-12-31,4.173,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,IN,,2025-12-31,4.219,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
