indicator_id,country_id,date,value,source,source_series_id,ingested_at
G4,EA,2026-05-01,-2.1,Trading Economics,https://tradingeconomics.com/euro-area/industrial-production,2026-06-11T16:44:15.677556
G4,CN,2026-05-01,4.1,Trading Economics,https://tradingeconomics.com/china/industrial-production,2026-06-11T16:44:50.151284
G4,IN,2026-06-01,4.9,Trading Economics,https://tradingeconomics.com/india/industrial-production,2026-06-11T16:45:24.850152
G4,SG,2026-05-01,17.6,Trading Economics,https://tradingeconomics.com/singapore/industrial-production,2026-06-11T16:46:00.485507
G4,SL,2026-02-01,-2.7,Trading Economics,https://tradingeconomics.com/sri-lanka/industrial-production,2026-06-11T16:46:35.186552
I1,EA,2026-06-01,3.2,Trading Economics,https://tradingeconomics.com/euro-area/inflation-cpi,2026-06-11T16:47:10.514172
I1,CN,2026-06-01,1.2,Trading Economics,https://tradingeconomics.com/china/inflation-cpi,2026-06-11T16:47:47.742950
I1,IN,2026-05-01,3.48,Trading Economics,https://tradingeconomics.com/india/inflation-cpi,2026-06-11T16:48:25.042544
I1,SG,2026-05-01,1.8,Trading Economics,https://tradingeconomics.com/singapore/inflation-cpi,2026-06-11T16:49:01.471615
I2,EA,2026-06-01,2.5,Trading Economics,https://tradingeconomics.com/euro-area/core-inflation-rate,2026-06-11T16:49:36.675056
I2,CN,2026-05-01,1.1,Trading Economics,https://tradingeconomics.com/china/core-inflation-rate,2026-06-11T16:50:13.957044
I2,SG,2026-05-01,1.4,Trading Economics,https://tradingeconomics.com/singapore/core-inflation-rate,2026-06-11T16:50:50.086882
I2,SL,2026-05-01,3.9,Trading Economics,https://tradingeconomics.com/sri-lanka/core-inflation-rate,2026-06-11T16:51:24.989407
I3,EA,2026-04-01,2.2,Trading Economics,https://tradingeconomics.com/euro-area/food-inflation,2026-06-11T16:51:59.784446
I3,CN,2026-05-01,-1.7,Trading Economics,https://tradingeconomics.com/china/food-inflation,2026-06-11T16:52:34.711612
I3,IN,2026-04-01,4.2,Trading Economics,https://tradingeconomics.com/india/food-inflation,2026-06-11T16:53:09.391722
I3,SG,2026-04-01,1.8,Trading Economics,https://tradingeconomics.com/singapore/food-inflation,2026-06-11T16:53:44.250030
M1,EA,2026-06-01,2.4,Trading Economics,https://tradingeconomics.com/euro-area/interest-rate,2026-06-11T16:54:19.092077
M1,CN,2026-05-01,3.0,Trading Economics,https://tradingeconomics.com/china/interest-rate,2026-06-11T16:54:54.209853
M1,IN,2026-06-01,5.25,Trading Economics,https://tradingeconomics.com/india/interest-rate,2026-06-11T16:55:35.244864
M2,EA,2026-06-01,3.45,Trading Economics,https://tradingeconomics.com/euro-area/government-bond-yield,2026-06-11T16:56:09.610630
M2,CN,2026-06-01,1.75,Trading Economics,https://tradingeconomics.com/china/government-bond-yield,2026-06-11T16:56:44.669731
M2,IN,2026-06-01,6.92,Trading Economics,https://tradingeconomics.com/india/government-bond-yield,2026-06-11T16:57:21.887726
M2,SG,2026-06-01,2.09,Trading Economics,https://tradingeconomics.com/singapore/government-bond-yield,2026-06-11T16:57:56.289471
L2,EA,2026-03-01,3.0,Trading Economics,https://tradingeconomics.com/euro-area/wage-growth,2026-06-11T16:58:30.328241
E1,EA,2026-05-01,0.0078,Trading Economics,https://tradingeconomics.com/euro-area/balance-of-trade,2026-06-11T16:59:04.563957
E1,CN,2026-05-01,105.43,Trading Economics,https://tradingeconomics.com/china/balance-of-trade,2026-06-11T16:59:39.106037
E1,IN,2026-04-01,-28.38,Trading Economics,https://tradingeconomics.com/india/balance-of-trade,2026-06-11T17:00:12.983947
E1,SG,2026-05-01,0.0131,Trading Economics,https://tradingeconomics.com/singapore/balance-of-trade,2026-06-11T17:00:47.419906
E1,SL,2026-04-01,-1.383,Trading Economics,https://tradingeconomics.com/sri-lanka/balance-of-trade,2026-06-11T17:01:22.555967
E2,EA,2026-04-01,121.29,Trading Economics,https://tradingeconomics.com/euro-area/foreign-exchange-reserves,2026-06-11T17:01:57.077975
E2,CN,2026-05-01,3442.0,Trading Economics,https://tradingeconomics.com/china/foreign-exchange-reserves,2026-06-11T17:02:31.366267
E2,IN,2026-06-01,0.6823,Trading Economics,https://tradingeconomics.com/india/foreign-exchange-reserves,2026-06-11T17:03:05.730313
E2,SG,2026-06-01,0.5486,Trading Economics,https://tradingeconomics.com/singapore/foreign-exchange-reserves,2026-06-11T17:03:39.980704
